                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  2.762,                 1.5562,                 1.8066,                 0.6736,                 0.8455,                0.75008,                0.49107,                 2.5193,                 2.2536,                 1.8355,                0.00148,                0.00148,                0.00148
                     36,                 2.7078,                 1.4351,                 1.8615,                0.74929,                0.79755,                0.80199,                0.53799,                 2.3484,                 2.5475,                 1.7947,              0.0014745,              0.0014745,              0.0014745
                     37,                 2.7307,                 1.5082,                 1.7617,                0.74929,                0.79755,                0.80199,                0.53799,                 2.3484,                 2.5475,                 1.7947,               0.001469,               0.001469,               0.001469
                     38,                 2.7462,                 1.5051,                 1.7678,                0.73595,                0.73428,                0.77507,                 0.5013,                 2.5755,                 2.5276,                 1.8311,              0.0014635,              0.0014635,              0.0014635
                     39,                 2.6944,                 1.4432,                 1.7852,                 0.6747,                0.85021,                0.80044,                0.53561,                 2.4575,                 1.9678,                 1.8094,               0.001458,               0.001458,               0.001458
                     40,                 2.5062,                 1.4749,                 1.7806,                 0.6747,                0.85021,                0.80044,                0.53561,                 2.4575,                 1.9678,                 1.8094,              0.0014525,              0.0014525,              0.0014525
                     41,                 2.5279,                 1.4677,                 1.7851,                0.72284,                0.81863,                0.82103,                 0.5514,                 2.4217,                 1.9079,                 1.7996,               0.001447,               0.001447,               0.001447
                     42,                 2.7672,                 1.3773,                 1.7794,                0.72284,                0.81863,                0.82103,                 0.5514,                 2.4217,                 1.9079,                 1.7996,              0.0014415,              0.0014415,              0.0014415
                     43,                 2.6169,                 1.3253,                 1.7743,                0.73291,                0.83291,                0.78846,                0.50342,                 2.4732,                 2.1666,                  1.811,               0.001436,               0.001436,               0.001436
                     44,                 2.7618,                 1.4536,                 1.7843,                0.72778,                0.83185,                0.77263,                0.48228,                 2.5972,                 2.2597,                 1.8484,              0.0014305,              0.0014305,              0.0014305
                     45,                 2.8382,                 1.4617,                  1.795,                0.72778,                0.83185,                0.77263,                0.48228,                 2.5972,                 2.2597,                 1.8484,               0.001425,               0.001425,               0.001425
                     46,                 2.5416,                 1.2881,                 1.7756,                0.67429,                 0.8639,                0.75934,                0.49149,                 2.5261,                 2.1642,                 1.8367,              0.0014195,              0.0014195,              0.0014195
