                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0614,                 0.6905,                0.99244,                0.74164,                0.93548,                0.84312,                0.52094,                 1.1828,                0.90928,                 1.0467,                0.00148,                0.00148,                0.00148
                     36,                 1.0421,                0.67861,                0.95306,                0.83628,                0.86507,                0.85525,                0.50675,                 1.2333,                0.81521,                 1.0255,              0.0014745,              0.0014745,              0.0014745
                     37,                0.97422,                0.62115,                0.96537,                0.83628,                0.86507,                0.85525,                0.50675,                 1.2333,                0.81521,                 1.0255,               0.001469,               0.001469,               0.001469
                     38,                 1.0425,                0.64171,                0.97487,                0.83628,                0.86507,                0.85525,                0.50675,                 1.2333,                0.81521,                 1.0255,              0.0014635,              0.0014635,              0.0014635
                     39,                0.99514,                0.62851,                0.95043,                0.76917,                 0.9086,                0.85088,                0.53652,                 1.1536,                0.72556,                 1.0088,               0.001458,               0.001458,               0.001458
                     40,                0.98821,                0.62033,                0.94752,                0.76917,                 0.9086,                0.85088,                0.53652,                 1.1536,                0.72556,                 1.0088,              0.0014525,              0.0014525,              0.0014525
                     41,                0.94619,                 0.6115,                0.94181,                0.74851,                0.84409,                0.85912,                0.54376,                 1.1967,                0.73619,                 1.0411,               0.001447,               0.001447,               0.001447
                     42,                0.98349,                0.62873,                0.95586,                0.74851,                0.84409,                0.85912,                0.54376,                 1.1967,                0.73619,                 1.0411,              0.0014415,              0.0014415,              0.0014415
                     43,                 1.0078,                0.64545,                0.95303,                0.74851,                0.84409,                0.85912,                0.54376,                 1.1967,                0.73619,                 1.0411,               0.001436,               0.001436,               0.001436
                     44,                0.99205,                0.60495,                0.97821,                 0.7114,                0.89836,                0.87592,                0.56749,                 1.1406,                0.83937,                 1.0246,              0.0014305,              0.0014305,              0.0014305
                     45,                0.94775,                0.60882,                0.95909,                 0.7114,                0.89836,                0.87592,                0.56749,                 1.1406,                0.83937,                 1.0246,               0.001425,               0.001425,               0.001425
                     46,                0.95078,                0.59883,                0.96053,                 0.7114,                0.89836,                0.87592,                0.56749,                 1.1406,                0.83937,                 1.0246,              0.0014195,              0.0014195,              0.0014195
                     47,                0.96608,                0.59952,                0.95118,                0.75189,                0.83333,                0.87566,                0.55321,                 1.1657,                0.75675,                 1.0176,              0.0014139,              0.0014139,              0.0014139
                     48,                0.94538,                0.55834,                0.93688,                0.75189,                0.83333,                0.87566,                0.55321,                 1.1657,                0.75675,                 1.0176,              0.0014084,              0.0014084,              0.0014084
                     49,                0.96518,                0.58048,                0.95562,                0.82016,                0.87255,                0.89252,                0.57937,                  1.147,                0.73286,                 1.0291,              0.0014029,              0.0014029,              0.0014029
                     50,                0.90917,                 0.5279,                0.95178,                0.82016,                0.87255,                0.89252,                0.57937,                  1.147,                0.73286,                 1.0291,              0.0013974,              0.0013974,              0.0013974
                     51,                0.95385,                0.58904,                0.96676,                0.82016,                0.87255,                0.89252,                0.57937,                  1.147,                0.73286,                 1.0291,              0.0013919,              0.0013919,              0.0013919
                     52,                0.89706,                0.56124,                0.92034,                0.80387,                0.90323,                0.84984,                0.53141,                 1.1973,                0.68684,                 1.0535,              0.0013864,              0.0013864,              0.0013864
                     53,                0.89426,                0.53526,                0.92843,                0.80387,                0.90323,                0.84984,                0.53141,                 1.1973,                0.68684,                 1.0535,              0.0013809,              0.0013809,              0.0013809
                     54,                0.90469,                0.54122,                0.91182,                0.80387,                0.90323,                0.84984,                0.53141,                 1.1973,                0.68684,                 1.0535,              0.0013754,              0.0013754,              0.0013754
                     55,                0.90221,                0.51666,                0.94005,                 0.8236,                 0.9053,                 0.8474,                0.53581,                 1.2207,                0.69071,                 1.0722,              0.0013699,              0.0013699,              0.0013699
                     56,                0.92918,                   0.52,                0.96324,                 0.8236,                 0.9053,                 0.8474,                0.53581,                 1.2207,                0.69071,                 1.0722,              0.0013644,              0.0013644,              0.0013644
                     57,                0.86574,                0.50326,                0.95354,                0.81768,                0.83987,                0.83517,                0.51505,                 1.2527,                0.73611,                 1.0585,              0.0013589,              0.0013589,              0.0013589
                     58,                0.96923,                0.62397,                0.91831,                0.81768,                0.83987,                0.83517,                0.51505,                 1.2527,                0.73611,                 1.0585,              0.0013534,              0.0013534,              0.0013534
                     59,                0.95347,                0.55114,                  0.943,                0.81768,                0.83987,                0.83517,                0.51505,                 1.2527,                0.73611,                 1.0585,              0.0013479,              0.0013479,              0.0013479
                     60,                0.91217,                0.52792,                  0.935,                0.73149,                0.89785,                0.84955,                0.55771,                 1.1676,                 0.6855,                 1.0409,              0.0013424,              0.0013424,              0.0013424
                     61,                0.91041,                0.53705,                0.94864,                0.73149,                0.89785,                0.84955,                0.55771,                 1.1676,                 0.6855,                 1.0409,              0.0013369,              0.0013369,              0.0013369
                     62,                0.85686,                 0.5352,                0.90424,                0.73149,                0.89785,                0.84955,                0.55771,                 1.1676,                 0.6855,                 1.0409,              0.0013314,              0.0013314,              0.0013314
                     63,                0.89693,                0.55984,                 0.9099,                 0.7206,                0.94086,                 0.8777,                0.57043,                 1.1747,                0.69508,                 1.0582,              0.0013259,              0.0013259,              0.0013259
                     64,                0.95328,                0.59624,                0.92871,                 0.7206,                0.94086,                 0.8777,                0.57043,                 1.1747,                0.69508,                 1.0582,              0.0013204,              0.0013204,              0.0013204
                     65,                0.95005,                0.58216,                 0.9369,                0.82239,                0.92741,                 0.8957,                0.57226,                 1.1898,                0.64194,                 1.0493,              0.0013149,              0.0013149,              0.0013149
                     66,                0.90673,                0.53777,                0.94554,                0.82239,                0.92741,                 0.8957,                0.57226,                 1.1898,                0.64194,                 1.0493,              0.0013094,              0.0013094,              0.0013094
